,CAGR,Volatility,Max Drawdown
QQQ,0.19759401877241367,0.25654724510703136,-0.3511871899529424
SPY,0.14351556356806694,0.21004787435074865,-0.33717259048788917
SQQQ,-0.5852898238400226,0.7604646867572501,-0.9927477186751102
TQQQ,0.3003536232573727,0.7587915217986141,-0.8165984425997603
